id,name,country,region,winery,varietal,price,vintage,type,snoothrank,user_ratings,critic_scores
516,Rancho Zabaco Zinfandel California Dancing Bull,USA,"California (-122.387185, 38.406418)",Rancho Zabaco Winery,Zinfandel,8.41,2006,Red Wine,3,3.4,84
289,Château Lagrange les Arums de Lagrange,France,"Bordeaux (-0.434217, 44.966195)",Château LaGrange,Bordeaux Blend,83.22,2002,White Wine,4,4,91.5
852,Chase Creek Estate Merlot Napa Valley,USA,"California (-122.387185, 38.406418)",Stag's Leap Wine Cellars,Merlot,64.99,2006,Red Wine,4,4,85
169,Jean-Louis Chave Hermitage,France,"Rhône (4.905138, 45.152446)",Domaine Jean-Louis Chave,Syrah,178.57,1996,Red Wine,4,3.25,92.33333333
860,Stag's Leap Wine Cellars Merlot. Chase Creek Napa Valley,USA,"California (-122.387185, 38.406418)",Stag's Leap Wine Cellars,Cabernet Sauvignon,206.99,2004,Red Wine,4,3.961538462,90
695,Kendall-Jackson Chardonnay California Vintner's Reserve,USA,"California (-122.387185, 38.406418)",Kendall-Jackson,Chardonnay,14.99,2006,Red Wine,4,3.413793103,88.5
400,Alain Graillot Syrah Crozes-Hermitage,France,"Rhône (4.905138, 45.152446)",Domaine Alain Graillot,Syrah,49,2004,Red Wine,3.5,4.75,90.33333333
163,Château Carbonnieux Weiss,France,"Bordeaux (-0.434217, 44.966195)",Château Carbonnieux,Sauvignon Blanc,32.99,2004,White Wine,4,4,90
579,Rosenblum Cellars Zinfandel Redwood Valley Annette's Reserve Rhodes Vineyard,USA,"California (-122.387185, 38.406418)",Rosenblum Cellars,Zinfandel,19.99,2003,Red Wine,4,4.75,91
301,Pascal Jolivet Sancerre,France,"Loire (0.389758, 47.407122)",Pascal Jolivet,Sauvignon Blanc,23.99,2009,White Wine,3,3.25,89
434,Château Grand-Puy-Lacoste 5e Grand Cru Pauillac Aoc,France,"Bordeaux (-0.434217, 44.966195)",Domaine du Mas Blanc - S.C.A Docteur Parcé & Fils Propriétaire,Bordeaux Blend,44.99,2004,Sparkling Wine,4,3.75,89.66666667
556,Plungerhead Lodi Old Vine Zinfandel,USA,"California (-122.387185, 38.406418)",Plungerhead,Zinfandel,12.99,2011,Red Wine,3.5,4,85
101,Chevalier-Montrachet Demoiselles Héritiers Jadot Frankrig-Bourgogne,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Chardonnay,45,1999,Red Wine,3.5,4.25,89.5
739,Deloach Vineyards Green Valley Pinot Noir,USA,"California (-122.387185, 38.406418)",DeLoach Vineyards,Pinot Noir,45,2007,Red Wine,3.5,3.8,90.5
855,Argyle Brut Rosé Willamette Valley,USA,"Oregon (-121.746595, 44.687298)",Wild Duck Creek,Champagne,75,2003,Red Wine,3.5,3.75,92.5
394,Château les Ollieux Romanis Corbières Cuvée Florence,France,"Languedoc-Roussillon (3.234202, 43.537080)",Château les Ollieux Romanis,Carignane,16.99,2007,Red Wine,3,2.166666667,87
277,Château les Ormes de Pez Red Bordeaux Blend St. Estèphe,France,"Bordeaux (-0.434217, 44.966195)",Château Les Ormes De Pez,Bordeaux Blend,45.76,2001,Red Wine,3.5,3.833333333,87.66666667
479,Domaine Armand Rousseau Gevrey Chambertin Clos St Jacques,France,"Burgundy (4.828234, 46.839000)",Domaine Armand Rousseau Père et Fils,Pinot Noir,227.94,2000,Red Wine,4,4.5,90
265,Duboeuf Saint-Amour ST.VALENTIN,France,"Burgundy (4.828234, 46.839000)",Georges Duboeuf,Gamay,12.84,2005,Red Wine,3.5,3.428571429,90.6
752,Ironstone Vineyards Cabernet Sauvignon Sierra Foothills Estate Grown Reserve,USA,"California (-122.387185, 38.406418)",Ironstone Vineyards,Cabernet Sauvignon,10,2006,Red Wine,3.5,3.5,87
163,Château Carbonnieux Weiss,France,"Bordeaux (-0.434217, 44.966195)",Château Carbonnieux,Sauvignon Blanc,32.99,2004,White Wine,4,4,90
572,Brazin Zinfandel Lodi,USA,"California (-122.387185, 38.406418)",Delicato Family Vineyards,Zinfandel,15.99,2011,Red Wine,3.5,3.4,85
113,Paul Jaboulet Aîné Condrieu,France,"Rhône (4.905138, 45.152446)",Paul Jaboulet Aèné,Viognier,100.73,1999,White Wine,3.5,3.666666667,92.33333333
156,Perrin & Fils Gigondas la Gille,France,"Rhône (4.905138, 45.152446)",Famille Perrin,Grenache,30.63,2007,Red Wine,3.5,3.75,92
520,Columbia Crest Merlot Columbia Valley Two Vines,USA,"Oregon (-121.746595, 44.687298)",Columbia Crest,Merlot,7.99,2007,Red Wine,3.5,3.692307692,89.5
788,Belle Pente Pinot Gris Willamette Valley Reserve,USA,"Oregon (-121.746595, 44.687298)",Belle Pente Vineyard,Pinot Grigio,20.95,2006,White Wine,4,4,94
527,Mirassou Vineyards Pinot Noir California,USA,"California (-122.387185, 38.406418)",Mirassou Vineyards,Pinot Noir,7.97,2011,Red Wine,3,3.34375,80
332,Volnay,France,"Burgundy (4.828234, 46.839000)",Volnay,Pinot Noir,210.96,2007,Red Wine,3.5,2,90
611,Kenwood Merlot,USA,"California (-122.387185, 38.406418)",Kenwood Vineyards,Merlot,11.99,2006,Red Wine,3.5,3.277777778,87
759,Hogue Cellars Cabernet Sauvignon Columbia Valley Genesis,USA,"Washington (-121.460951, 47.963348)",Hogue Cellars,Cabernet Sauvignon,11.99,2004,Red Wine,3.5,4,86.5
748,Murphy-Goode Cabernet Sauvignon Alexander Valley,USA,"California (-122.387185, 38.406418)",Murphy-Goode Winery,Cabernet Sauvignon,10.99,2007,Red Wine,4,4.055555556,87
619,Souverain Merlot Alexander Valley,USA,"California (-122.387185, 38.406418)",Chateau Souverain,Merlot,14.98,2006,Red Wine,3.5,3.833333333,88
138,Chateau Bonnet Entre-Deux-Mers,France,"Bordeaux (-0.434217, 44.966195)",André Lurton,Bordeaux Blend,15.99,2010,Red Wine,3.5,4,86
126,Domaine de Bellivière Coteaux du Loir Le Rouge-Gorge,France,"Loire (0.389758, 47.407122)",Domaine de Bellivière,Pineau d'Aunis,18.37,2004,Red Wine,3.5,3.5,89
189,Château Palmer Margaux Bottle,France,"Bordeaux (-0.434217, 44.966195)",Chateau Palmer,Cabernet Sauvignon,286.29,1996,Red Wine,3.5,3.75,90.5
208,Chateau Maris Syrah Minervois la Livinlere la Touge,France,"Languedoc-Roussillon (3.234202, 43.537080)",Château Maris,Syrah,14.99,2009,Red Wine,4,4.333333333,89
38,Continuum,USA,"California (-122.387185, 38.406418)",Continuum,Cabernet Sauvignon,140,2007,Red Wine,4,2.5,96.33333333
824,Dry Creek Vineyard Chenin Blanc Clarksburg Dry Chenin Blanc,USA,"California (-122.387185, 38.406418)",Dry Creek Vineyard,Chenin Blanc,29.67,2004,White Wine,3.5,3.538461538,92
417,Paul Joboulet Aene Hermitage Domaine de Thalabert,France,"Rhône (4.905138, 45.152446)",Paul Jaboulet Aèné,Syrah,55.5,2005,Red Wine,3.5,2.2,91
27,Fleurie Chateau du Chatelard Red,France,"Burgundy (4.828234, 46.839000)",Chateau du Chatelard,Gamay,14.26,2007,Red Wine,2.5,3,83
882,Dry Creek Chenin Blanc Clarksburg Dry,USA,"California (-122.387185, 38.406418)",Dry Creek Vineyard,Chenin Blanc,21.99,2011,White Wine,3.5,4,87
679,Bogle Vineyards Chardonnay California,USA,"California (-122.387185, 38.406418)",Bogle Vineyards,Chardonnay,9.99,2009,White Wine,3,3.1875,88
546,Pine Ridge Chenin Blanc-Viognier California,USA,"California (-122.387185, 38.406418)",Pine Ridge Vineyard,Chenin Blanc,59.99,1999,Red Wine,3.5,3.375,93.66666667
759,Hogue Cellars Cabernet Sauvignon Columbia Valley Genesis,USA,"Washington (-121.460951, 47.963348)",Hogue Cellars,Cabernet Sauvignon,11.99,2004,Red Wine,3.5,4,86.5
799,Matanzas Creek Winery Sauvignon Blanc Sonoma County,USA,"California (-122.387185, 38.406418)",Matanzas Creek Winery,Sauvignon Blanc,16.99,2010,White Wine,3.5,1.75,90.5
